City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Hilo,US,19.7297,-155.09,79.29,82,40,16.11,2023-04-19 19:32:04
1,Sandnessjoen,NO,66.0217,12.6316,44.65,89,75,8.05,2023-04-19 19:35:54
2,Mont-Dore,NC,-22.2833,166.5833,78.01,99,35,3.18,2023-04-19 19:35:56
3,Alofi,NU,-19.0595,-169.9187,76.89,100,100,6.91,2023-04-19 19:35:57
4,Port-Aux-Francais,TF,-49.35,70.2167,41.05,68,52,34.9,2023-04-19 19:35:58
5,Edinburgh Of The Seven Seas,SH,-37.0676,-12.3116,64.44,74,100,21.65,2023-04-19 19:35:59
6,Daru,PG,-9.0763,143.2092,77.29,86,92,5.3,2023-04-19 19:36:00
7,Bumba,CD,2.1833,22.4667,78.42,69,95,3.04,2023-04-19 19:36:02
8,Yellowknife,CA,62.456,-114.3525,37.92,48,0,9.22,2023-04-19 19:36:03
9,Eureka,US,40.8021,-124.1637,56.19,58,17,5.01,2023-04-19 19:33:20
10,Sinabang,ID,2.4803,96.3801,80.71,79,100,5.01,2023-04-19 19:36:05
11,Isangel,VU,-19.55,169.2667,77.59,75,100,2.37,2023-04-19 19:36:07
12,Blackmans Bay,AU,-43.0167,147.3167,49.73,74,93,8.59,2023-04-19 19:36:08
13,Puerto Natales,CL,-51.7236,-72.4875,55.85,50,75,32.21,2023-04-19 19:31:26
14,Avarua,CK,-21.2078,-159.775,77.05,88,100,6.91,2023-04-19 19:36:10
15,Yaren,NR,-0.5472,166.916,83.57,74,100,12.53,2023-04-19 19:36:12
16,Onega,RU,63.9061,38.1404,34.07,98,99,7.34,2023-04-19 19:36:13
17,Waitangi,NZ,-43.9535,-176.5597,61.83,92,100,8.99,2023-04-19 19:36:14
18,Adamstown,PN,-25.066,-130.1015,76.82,75,70,7.94,2023-04-19 19:36:16
19,Sisimiut,GL,66.9395,-53.6735,21.43,79,92,6.2,2023-04-19 19:36:17
20,Taltal,CL,-25.4,-70.4833,69.04,69,24,3.8,2023-04-19 19:36:18
21,Severo-Yeniseyskiy,RU,60.3725,93.0408,0.16,100,97,4.43,2023-04-19 19:36:19
22,Afaahiti,PF,-17.75,-149.2833,85.87,80,100,18.28,2023-04-19 19:36:21
23,Margaret River,AU,-33.95,115.0667,54.84,62,0,7.76,2023-04-19 19:36:22
24,Kapuskasing,CA,49.4169,-82.4331,30.29,74,75,18.41,2023-04-19 19:36:23
25,Punta Arenas,CL,-53.15,-70.9167,53.62,62,40,37.98,2023-04-19 19:36:24
26,Tabas,IR,33.5959,56.9244,70.02,19,0,4.61,2023-04-19 19:36:25
27,Newman,US,37.3138,-121.0208,62.24,49,1,8.01,2023-04-19 19:36:27
28,Wailua Homesteads,US,22.0669,-159.378,77.76,69,20,8.05,2023-04-19 19:36:28
29,Remire-Montjoly,GF,4.9167,-52.2667,77.04,94,20,4.61,2023-04-19 19:36:29
30,West Island,CC,-12.1568,96.8225,80.56,82,100,22.66,2023-04-19 19:36:30
31,Utrik,MH,11.2278,169.8474,79.84,79,100,19.8,2023-04-19 19:36:32
32,Ilulissat,GL,69.2167,-51.1,23.02,86,100,5.75,2023-04-19 19:36:33
33,Olonkinbyen,SJ,70.9221,-8.7187,35.56,92,11,18.14,2023-04-19 19:36:34
34,Puerto Ayora,EC,-0.7393,-90.3518,85.96,100,100,11.01,2023-04-19 19:36:35
35,Abalak,RU,58.1286,68.5944,27.18,62,28,4.74,2023-04-19 19:36:37
36,Hawaiian Paradise Park,US,19.5933,-154.9731,76.89,94,40,16.11,2023-04-19 19:36:38
37,Walvis Bay,NA,-22.9575,14.5053,69.94,56,5,10.38,2023-04-19 19:35:25
38,Luena,AO,-11.7833,19.9167,63.73,68,14,4.23,2023-04-19 19:36:40
39,Tolanaro,MG,-25.0319,46.9987,75.27,88,20,6.91,2023-04-19 19:36:42
40,Nova Vicosa,BR,-17.8919,-39.3719,83.23,81,17,13.58,2023-04-19 19:36:43
41,Djibouti,DJ,11.5,42.5,75.58,75,21,13.58,2023-04-19 19:36:44
42,Kas,TR,36.2018,29.6377,58.1,72,0,10.42,2023-04-19 19:36:45
43,Cardigan,GB,52.0847,-4.6591,57.13,74,6,19.6,2023-04-19 19:36:46
44,Bredasdorp,ZA,-34.5322,20.0403,62.62,65,100,2.64,2023-04-19 19:36:48
45,Kapa'A,US,22.0752,-159.319,79.11,68,20,8.05,2023-04-19 19:36:49
46,Hermanus,ZA,-34.4187,19.2345,57.79,76,99,4.99,2023-04-19 19:36:50
47,Kodiak,US,57.79,-152.4072,38.71,65,75,11.5,2023-04-19 19:33:15
48,Uturoa,PF,-16.7333,-151.4333,82.35,79,73,16.11,2023-04-19 19:36:53
49,Stephenville,US,32.2207,-98.2023,86.25,49,40,17.27,2023-04-19 19:36:19
50,Arar,SA,30.9753,41.0381,73.42,43,75,3.44,2023-04-19 19:34:37
