City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
4,Callao,PE,79.09,-12.0667,-77.15,Casa Ronald
7,Katabu,ID,74.57,-4.9333,122.5167,No hotel found
8,Sambava,MG,75.81,-14.2667,50.1667,Royal Sava Hôtel
11,Hawaiian Paradise Park,US,81.91,19.5933,-154.9731,No hotel found
16,Itoman,JP,75.22,26.1247,127.6694,No hotel found
18,Mangrol,IN,80.38,21.1167,70.1167,No hotel found
24,Coahuayana De Hidalgo,MX,89.91,18.7,-103.6583,No hotel found
26,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
27,Ilhabela,BR,73.2,-23.7781,-45.3581,Vila Kebaya
29,Nago,JP,74.25,26.5881,127.9761,グリーンリッチホテル
31,Lompoc,US,70.7,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
34,Carnarvon,AU,72.91,-24.8667,113.6333,No hotel found
39,Jaicos,BR,75.09,-7.3592,-41.1378,Apart-Hotel Restô Da Roça
41,Georgetown,MY,79.95,5.4112,100.3354,Page 63 hostel
42,Burao,SO,77.65,9.5221,45.5336,Liiban hotel burco ( ENG:Shibiin )
43,Adamstown,PN,76.66,-25.066,-130.1015,No hotel found
47,Cestos City,LR,82.49,5.46,-9.5828,No hotel found
49,Wau,SS,84.18,7.7029,27.9953,Safari Park Hotel
50,Rongelap,MH,79.93,11.1635,166.8941,No hotel found
53,Takoradi,GH,79.77,4.8845,-1.7554,Hillcrest
54,Veraval,IN,80.83,20.9,70.3667,Shyam
55,Kapa'A,US,74.1,22.0752,-159.319,Pono Kai Resort
57,San Antonio De Pale,GQ,82.8,-1.4014,5.6325,No hotel found
61,Port Douglas,AU,72.97,-16.4833,145.4667,Mantra Aqueous Port Douglas
66,Puerto Ayora,EC,84.16,-0.7393,-90.3518,Hostal La Mirada De Solitario George
67,West Island,CC,78.78,-12.1568,96.8225,Cocos Village Bungalows
68,Bandarbeyla,SO,81.34,9.4942,50.8122,No hotel found
70,Weno,FM,81.9,7.4515,151.8468,High Tide Hotel
75,Howrah,IN,86.0,22.5892,88.3103,Sun India Guest House
77,Timimoun,DZ,84.94,29.2639,0.231,أناف
80,Cannonvale,AU,78.19,-20.2833,148.7,Whitsundays Rainforest Retreat
82,Bikenibeu Village,KI,85.96,1.3673,173.1241,Otintaai Hotel
83,Tsiombe,MG,73.18,-25.3,45.4833,No hotel found
85,Sao Vicente,BR,79.27,-23.9631,-46.3919,Pousada Vitória
87,Ceeldheer,SO,82.38,3.8488,47.1806,No hotel found
88,Gulf Shores,US,75.38,30.246,-87.7008,Beachside Resort
91,Afaahiti,PF,85.06,-17.75,-149.2833,Omati Lodge
96,Soure,BR,75.83,-0.7167,-48.5233,Hotel Marajó
98,Fale Old Settlement,TK,82.62,-9.3852,-171.2468,No hotel found
101,Freetown,SL,80.31,8.484,-13.2299,Formal Leona hotel
105,Bonthe,SL,81.95,7.5264,-12.505,No hotel found
